group,dimension,birth,death,length
recombinant,0,0.0,0.03125,0.03125
recombinant,0,0.0,0.15625,0.15625
recombinant,0,0.0,0.1875,0.1875
recombinant,0,0.0,0.1875,0.1875
recombinant,0,0.0,0.21875,0.21875
recombinant,0,0.0,0.25,0.25
recombinant,0,0.0,0.25,0.25
recombinant,0,0.0,0.25,0.25
recombinant,0,0.0,0.28125,0.28125
recombinant,0,0.0,0.28125,0.28125
recombinant,0,0.0,0.28125,0.28125
recombinant,0,0.0,0.28125,0.28125
recombinant,0,0.0,0.28125,0.28125
recombinant,0,0.0,0.3125,0.3125
recombinant,0,0.0,0.3125,0.3125
recombinant,0,0.0,0.3125,0.3125
recombinant,0,0.0,0.3125,0.3125
recombinant,0,0.0,0.3125,0.3125
recombinant,0,0.0,0.34375,0.34375
recombinant,0,0.0,0.34375,0.34375
recombinant,0,0.0,0.40625,0.40625
recombinant,0,0.0,0.4375,0.4375
recombinant,0,0.0,0.46875,0.46875
recombinant,1,0.375,0.40625,0.03125
recombinant,1,0.375,0.40625,0.03125
recombinant,1,0.375,0.40625,0.03125
recombinant,1,0.34375,0.375,0.03125
recombinant,1,0.34375,0.375,0.03125
recombinant,1,0.3125,0.34375,0.03125
recombinant,1,0.3125,0.375,0.0625
recombinant,1,0.28125,0.3125,0.03125
recombinant,1,0.28125,0.3125,0.03125
recombinant,2,0.40625,0.4375,0.03125
recombinant,2,0.375,0.40625,0.03125
recombinant,2,0.375,0.40625,0.03125
